"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"These hacks are funding crime syndicates and rogue nation state actors, no shit the govt wants to kill crypto",FALSE,1,NA,2022-10-12 02:19:12,FALSE,NA,"1580020227483766784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rkmasiello",0,FALSE,FALSE,NA,NA
"RT @ADAGurl4Eva: My brother @FourFiveJeff @YummiUniverse 😍🥰🥰 the prominent cardano dev and my partner in crime for @cnftcon @adamKDean ❤️❤️…",FALSE,0,NA,2022-10-12 02:05:43,FALSE,NA,"1580016833649733633",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SliMagik",1,TRUE,FALSE,NA,NA
"My brother @FourFiveJeff @YummiUniverse 😍🥰🥰 the prominent cardano dev and my partner in crime for @cnftcon… https://t.co/dF6w2pzOQq",FALSE,6,"ADAGurl4Eva",2022-10-12 01:32:23,TRUE,"1580008432215928833","1580008448569520128","701447612637904898","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ADAGurl4Eva",1,FALSE,FALSE,NA,NA
"@HillaryClinton @BillClinton If crime was a picture.....",FALSE,0,"HillaryClinton",2022-10-12 01:27:52,FALSE,"1579826246061821952","1580007309207810049","1339835893","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","crypto_beached",0,FALSE,FALSE,NA,NA
"When it comes to managing financial crime risks of crypto, @ARedbord of TRM Labs highlighted how “in the age of cry… https://t.co/ZTeqI2cNYj",FALSE,0,NA,2022-10-12 01:01:21,TRUE,NA,"1580000638578364416",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","acamstoday",0,FALSE,FALSE,NA,NA
"@JosephPolitano Idk crypto crime is pretty wild, Do Kwon is on the run now IIRC",FALSE,14,"JosephPolitano",2022-10-12 00:55:30,FALSE,"1579998067306401792","1579999165035134976","3309908860","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Noahpinion",0,FALSE,FALSE,NA,NA
"I reported the account as appearing to be hacked. Please do the same and help Twitter catch these frauds. They lure… https://t.co/fFt4etRrEO",FALSE,0,"YumiBod",2022-10-12 00:13:25,TRUE,"1579987307440275457","1579988574241710081","1225995949518053376","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YumiBod",0,FALSE,FALSE,NA,NA
"Biden started inflation rising by ending our energy independence.

Then his Fed started raising interest rates.

No… https://t.co/UsprnnRBF1",FALSE,0,NA,2022-10-12 00:13:12,TRUE,NA,"1579988521418625025",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ScallyNancy",0,FALSE,FALSE,NA,NA
"RT @michaelhenry4ag: The crime crisis is hurting our mom &amp; pop shops.

Paul Li, President of the Bay Parkway Business Association, &amp; Brookl…",FALSE,0,NA,2022-10-12 00:00:33,FALSE,NA,"1579985337991905282",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","crypto_passion",132,TRUE,FALSE,NA,NA
"The penalty is part of an expanding effort by the Treasury Department and other agencies to crack down on crypto cr… https://t.co/l5YWMCqLQk",FALSE,0,NA,2022-10-11 23:57:30,TRUE,NA,"1579984569356337153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AthleticTiger",0,FALSE,FALSE,NA,NA
"RT @TheoryBitcoin: @pierre_rochard Bulgaria government  is the second largest Bitcoin holder in the World (~200 000 BTC) : https://t.co/POr…",FALSE,0,NA,2022-10-11 23:23:20,FALSE,NA,"1579975969791959041",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mariali94316534",1,TRUE,FALSE,NA,NA
"RT @JohnReedStark: Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrorism/sa…",FALSE,0,NA,2022-10-11 22:37:36,FALSE,NA,"1579964463007952896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","accounttoblock",23,TRUE,FALSE,NA,NA
"#Cybersecurity and #privacy atty Shardul Desai will discuss #crypto-related crime, #regulation and enforcement at a… https://t.co/ZCgP1nobpO",FALSE,3,NA,2022-10-11 22:11:48,TRUE,NA,"1579957969642741760",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Holland_Knight",0,FALSE,FALSE,NA,NA
"@evacide There is no war; it is a crime against humanity.",FALSE,0,"evacide",2022-10-11 22:09:28,FALSE,"1579751275985784832","1579957380766658561","14707266","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","crypto_vampire",0,FALSE,FALSE,NA,NA
"RT @Blockchain_CBC: Please join us for an eye-opening discussion Tuesday, Oct.18, at 4pm about how crypto assets are used for crime, detect…",FALSE,0,NA,2022-10-11 22:03:00,FALSE,NA,"1579955753825505285",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","J9Moir",1,TRUE,FALSE,NA,NA
"@exitscammed Stop loss hunting from their insider trading desk. That wick was a whale harpoon... https://t.co/O5hMXhCIKm",FALSE,1,"exitscammed",2022-10-11 21:37:51,FALSE,"1579637248580268032","1579949426004852736","1060271832484331521","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheReclaimsmen",0,FALSE,FALSE,NA,NA
"RT @JohnReedStark: Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrorism/sa…",FALSE,0,NA,2022-10-11 21:08:16,FALSE,NA,"1579941978535788544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheEbizWizard",23,TRUE,FALSE,NA,NA
"Is it time to review your endpoint protection #EndpointSecurity #nfts #bitcoin #crypto #btc #bsc #dev #video #music… https://t.co/N45cDkaINs",FALSE,1,NA,2022-10-11 21:02:10,TRUE,NA,"1579940442480656384",NA,"<a href=""http://dynamicsignal.com/"" rel=""nofollow"">Dynamic Signal</a>","CDWGWAGov",0,FALSE,FALSE,NA,NA
"RT @JohnReedStark: Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrorism/sa…",FALSE,0,NA,2022-10-11 20:59:25,FALSE,NA,"1579939752111112192",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","IvoGatzinski",23,TRUE,FALSE,NA,NA
"#Coinbase and #Binance should not list #LunC. Literally funding a scam artist like @stablekwon just for your pocket… https://t.co/aleroir2XP",FALSE,1,NA,2022-10-11 20:58:20,TRUE,NA,"1579939479867256832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CryptoPipDough",0,FALSE,FALSE,NA,NA
"A super #crypto #webinar and #London in-person event coming up on 19 October from Centre for Financial Crime and Se… https://t.co/0v40DOHqSR",FALSE,0,NA,2022-10-11 20:38:14,TRUE,NA,"1579934422220296193",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MHiesboeck",0,FALSE,FALSE,NA,NA
"27 year old Californian Indicted in Crypto Money Laundering Conspiracy - https://t.co/vA9WWxomuu #cryptonews… https://t.co/0yamDCoTfS",FALSE,0,NA,2022-10-11 20:37:49,TRUE,NA,"1579934315827580928",NA,"<a href=""http://www.cryptonewsbytes.com"" rel=""nofollow"">cryptonewsbytes</a>","cryptonewsbytes",0,FALSE,FALSE,NA,NA
"RT @JohnReedStark: Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrorism/sa…",FALSE,0,NA,2022-10-11 20:30:38,FALSE,NA,"1579932510741762048",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SatishR43735550",23,TRUE,FALSE,NA,NA
"North Korea Leads Crypto Crime Scene With $1.59 Billion In Stolen Funds
#btc #ripplenews #SecretContracts #enigma… https://t.co/a7jhBtUhWL",FALSE,1,NA,2022-10-11 20:30:03,TRUE,NA,"1579932362364030976",NA,"<a href=""https://livecryptoprices.com.au"" rel=""nofollow"">Live Crypto Prices</a>","Agent00Crypto",0,FALSE,FALSE,NA,NA
"RT @craigmtimm: Great first day at ACAMS Las Vegas with a 3hr workshop on how to mitigate financial crime risk in crypto. More good stuff o…",FALSE,0,NA,2022-10-11 19:55:03,FALSE,NA,"1579923555990441984",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","leanthebean",2,TRUE,FALSE,NA,NA
"RT @RealDeniseWelch: I was never against the vaccine. I had it. I was pro choice and anti mandate. We were categorically told that we were…",FALSE,0,NA,2022-10-11 19:47:38,FALSE,NA,"1579921688644710400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jazy_Crypto",2817,TRUE,FALSE,NA,NA
"@swcpoker 

OutsideTheBox is VeganHippie

@swcpoker 

OutsideTheBox is VeganHippie.Aka Jon Drane a convicted felon… https://t.co/BTCFAvoQPT",FALSE,0,"SwCPoker",2022-10-11 19:25:31,TRUE,NA,"1579916121129746432","2860101928","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_Joshua_Garrett",0,FALSE,FALSE,NA,NA
"RT @cz_binance: » Binance to Train Law Enforcement on How to Stop Crypto Crime https://t.co/RwlCZfTVVZ",FALSE,0,NA,2022-10-11 19:22:48,FALSE,NA,"1579915438833938432",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TchidemeN",542,TRUE,FALSE,NA,NA
"USD 30 Billion = cost of #cybercrime in #blockchain per year.

#cryptos are reaching out for our #cybersecurity ser… https://t.co/QXy6vYXe6i",FALSE,0,NA,2022-10-11 19:09:16,TRUE,NA,"1579912030256914433",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CryptoAegis1",0,FALSE,FALSE,NA,NA
"@jamesflames55 @koinly I think what would be funny is if the government went after crypto as if it was proceeds of… https://t.co/y06RSf5GHZ",FALSE,1,"jamesflames55",2022-10-11 19:02:26,TRUE,"1526788031209803776","1579910314329374725","1437042651224698888","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","OFarcough",0,FALSE,FALSE,NA,NA
"RT @craigmtimm: Great first day at ACAMS Las Vegas with a 3hr workshop on how to mitigate financial crime risk in crypto. More good stuff o…",FALSE,0,NA,2022-10-11 18:58:17,FALSE,NA,"1579909268655902720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ACAMS_AML",2,TRUE,FALSE,NA,NA
"@TrainCraftGame Thanks for this opportunity.Your team are amazing and top notch in the game. I know am not always l… https://t.co/Ulb3GMZgvu",FALSE,0,"TrainCraftGame",2022-10-11 18:54:26,TRUE,"1577992512651886593","1579908298077532162","1572720029958823936","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rahmabe3",0,FALSE,FALSE,NA,NA
"RT @JohnReedStark: Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrorism/sa…",FALSE,0,NA,2022-10-11 18:43:58,FALSE,NA,"1579905667208728578",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ARCHI01001100",23,TRUE,FALSE,NA,NA
"@robreiner Democrats have given us a permanent 8% increase in food and merchandise prices. Gas prices are rising ag… https://t.co/99bQeaRtHq",FALSE,0,"robreiner",2022-10-11 18:33:05,TRUE,"1579630895442841600","1579902925903515648","738080573365702657","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AbrahamsLineage",0,FALSE,FALSE,NA,NA
"RT @RealDeniseWelch: I was never against the vaccine. I had it. I was pro choice and anti mandate. We were categorically told that we were…",FALSE,0,NA,2022-10-11 18:31:09,FALSE,NA,"1579902441239482369",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Crypto_Bluerail",2817,TRUE,FALSE,NA,NA
"@Crypto_Pop_Art Your owner rejected you.

Tried to drown you in the toilet.

Now you're ready for some Fall Guys st… https://t.co/sFUbEaF4ti",FALSE,0,"Crypto_Pop_Art",2022-10-11 18:27:31,TRUE,NA,"1579901527539392512","1264997248636792841","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","WhatToPlayNext1",0,FALSE,FALSE,NA,NA
"Please join us for an eye-opening discussion Tuesday, Oct.18, at 4pm about how crypto assets are used for crime, de… https://t.co/XHYt5TNUgO",FALSE,1,NA,2022-10-11 18:25:14,TRUE,NA,"1579900948893536256",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Blockchain_CBC",1,FALSE,FALSE,NA,NA
"RT @champ0908_: Passcon Global Roadshow 2020 - proud to announce that we go with our unique Anti-Financial-Crime 24/7 One-Stop-Shop on glob…",FALSE,0,NA,2022-10-11 18:04:16,FALSE,NA,"1579895675126284288",NA,"<a href=""http://localhost.com"" rel=""nofollow"">nataffect1</a>","natureaffect",4,TRUE,FALSE,NA,NA
"RT @ayemojubar: He who is faithful in little crime... https://t.co/fhBNwBTod0",FALSE,0,NA,2022-10-11 17:55:36,FALSE,NA,"1579893491710447616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","crypto_zod",827,TRUE,FALSE,NA,NA
"@polarpunklabs can't sleep because of Bitcoin maxis.
Read this and all i can say is: 
be more TOXIC. 
""Crypto"" is a… https://t.co/tgBKSc501G",FALSE,0,"polarpunklabs",2022-10-11 17:33:07,TRUE,NA,"1579887835850878976","1389200700115230732","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bitcoinaz",0,FALSE,FALSE,NA,NA
"Crypto Crime-Centered Justice Division Chief Leaving: Report...   Cryptocurrency Sponsor https://t.co/mP69hKtNCN  https://t.co/3JFYz5Myji",FALSE,0,NA,2022-10-11 17:20:05,FALSE,NA,"1579884556597202948",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Drip Star</a>","TheDripStar",0,FALSE,FALSE,NA,NA
"@FortuneMagazine The only point of existing crypto networks is scams, money laundering, and crime - like Russia",FALSE,0,"FortuneMagazine",2022-10-11 17:13:41,FALSE,"1579882677477707776","1579882946236149762","25053299","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CosmoBarberri",0,FALSE,FALSE,NA,NA
"Crypto Bad Guys Vs. 150 U.S. Prosecutors - Who Will Win?   #crypto #cryptonews #cryptocurrency #business https://t.co/jCX47163dn",FALSE,1,NA,2022-10-11 17:00:32,FALSE,NA,"1579879634660777984",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LynnRob54603939",0,FALSE,FALSE,NA,NA
"RT @PolitiBunny: While Democrats are babbling about abortion and trans rights, Americans are actually worried about putting food on their t…",FALSE,0,NA,2022-10-11 16:46:29,FALSE,NA,"1579876100586450948",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","crypto_nomicon",209,TRUE,FALSE,NA,NA
"RT @JohnReedStark: Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrorism/sa…",FALSE,0,NA,2022-10-11 16:45:25,FALSE,NA,"1579875830435807232",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","breard_r",23,TRUE,FALSE,NA,NA
"Great first day at ACAMS Las Vegas with a 3hr workshop on how to mitigate financial crime risk in crypto. More good… https://t.co/IFMJeh1PnB",FALSE,4,NA,2022-10-11 16:41:33,TRUE,NA,"1579874858917277698",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","craigmtimm",2,FALSE,FALSE,NA,NA
"Everything in crypto is a crime may as well scam a bag and try your best to make it out alive ✌️",FALSE,5,NA,2022-10-11 16:38:09,FALSE,NA,"1579874002914652164",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","evil_egirl",0,FALSE,FALSE,NA,NA
"RT @JohnReedStark: Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrorism/sa…",FALSE,0,NA,2022-10-11 16:17:15,FALSE,NA,"1579868740904448001",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","lgw4",23,TRUE,FALSE,NA,NA
"RT @JohnReedStark: Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrorism/sa…",FALSE,0,NA,2022-10-11 16:10:09,FALSE,NA,"1579866954667798528",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","aengelhorn",23,TRUE,FALSE,NA,NA
"#Binance holds #crypto security training workshop for the National Bank of Georgia and the nation’s financial monit… https://t.co/Lcxe9RqnGP",FALSE,2,NA,2022-10-11 16:09:39,TRUE,NA,"1579866829350371329",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CryptoBlockMeta",0,FALSE,FALSE,NA,NA
"RT @JohnReedStark: Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrorism/sa…",FALSE,0,NA,2022-10-11 16:06:04,FALSE,NA,"1579865929998925824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","clementd",23,TRUE,FALSE,NA,NA
"RT @ch3njus: Tokens aren't sustainable and, in fact, an incredible detriment to that entire industry. Tokens are why crypto will probably f…",FALSE,0,NA,2022-10-11 16:04:24,FALSE,NA,"1579865508194955264",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","montaspavel",1,TRUE,FALSE,NA,NA
"@Crypto_Newby @komradeperogie Has it occurred to you that using Bitcoin for proceeds of crime/money is actually mor… https://t.co/WUb1PBbSAg",FALSE,0,"Crypto_Newby",2022-10-11 15:59:43,TRUE,"1579860952127676422","1579864330430222337","1364255745273958400","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jayberjay",0,FALSE,FALSE,NA,NA
"RT @JohnReedStark: Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrorism/sa…",FALSE,0,NA,2022-10-11 15:56:44,FALSE,NA,"1579863579192594433",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","untinch",23,TRUE,FALSE,NA,NA
"RT @JohnReedStark: Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrorism/sa…",FALSE,0,NA,2022-10-11 15:52:28,FALSE,NA,"1579862507690151937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bradzions",23,TRUE,FALSE,NA,NA
"RT @JohnReedStark: Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrorism/sa…",FALSE,0,NA,2022-10-11 15:52:07,FALSE,NA,"1579862418775494656",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","fenkt",23,TRUE,FALSE,NA,NA
"RT @JohnReedStark: Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrorism/sa…",FALSE,0,NA,2022-10-11 15:49:15,FALSE,NA,"1579861697506205697",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CleyFaye",23,TRUE,FALSE,NA,NA
"RT @JohnReedStark: Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrorism/sa…",FALSE,0,NA,2022-10-11 15:48:22,FALSE,NA,"1579861473954004993",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DwayneFuhlhage",23,TRUE,FALSE,NA,NA
"RT @JohnReedStark: Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrorism/sa…",FALSE,0,NA,2022-10-11 15:47:14,FALSE,NA,"1579861189257199617",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","benjsequations",23,TRUE,FALSE,NA,NA
"RT @JohnReedStark: Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrorism/sa…",FALSE,0,NA,2022-10-11 15:47:06,FALSE,NA,"1579861156046704641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Otame",23,TRUE,FALSE,NA,NA
"RT @JohnReedStark: Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrorism/sa…",FALSE,0,NA,2022-10-11 15:47:02,FALSE,NA,"1579861138434445312",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","hawkriver",23,TRUE,FALSE,NA,NA
"RT @JohnReedStark: Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrorism/sa…",FALSE,0,NA,2022-10-11 15:45:43,FALSE,NA,"1579860806719574017",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jmshick0130",23,TRUE,FALSE,NA,NA
"RT @JohnReedStark: Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrorism/sa…",FALSE,0,NA,2022-10-11 15:44:26,FALSE,NA,"1579860485213933568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1000thCassandra",23,TRUE,FALSE,NA,NA
"RT @JohnReedStark: Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrorism/sa…",FALSE,0,NA,2022-10-11 15:44:14,FALSE,NA,"1579860432466366464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","schrotthaufen",23,TRUE,FALSE,NA,NA
"RT @JohnReedStark: Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrorism/sa…",FALSE,0,NA,2022-10-11 15:44:05,FALSE,NA,"1579860397636874241",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hare_brain",23,TRUE,FALSE,NA,NA
"RT @JohnReedStark: Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrorism/sa…",FALSE,0,NA,2022-10-11 15:43:27,FALSE,NA,"1579860238437847040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","smdiehl",23,TRUE,FALSE,NA,NA
"RT @JohnReedStark: Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrorism/sa…",FALSE,0,NA,2022-10-11 15:37:37,FALSE,NA,"1579858767654817792",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","OmaDrei60",23,TRUE,FALSE,NA,NA
"Crypto has: 

-Caused an epic crypto-crime-wave of ransomware/drug dealing/sex trafficking/money laundering/terrori… https://t.co/p9z6atMnLy",FALSE,60,NA,2022-10-11 15:35:21,TRUE,NA,"1579858199938990080",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JohnReedStark",23,FALSE,FALSE,NA,NA
"RT @ACTBrigitte: Joe Biden says climate change is a threat to our nation but open borders and rampant crime are not.

Wake up America!",FALSE,0,NA,2022-10-11 15:07:40,FALSE,NA,"1579851233535590401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_Crypto_Colonel",1057,TRUE,FALSE,NA,NA
